Difference (type - type_staged) with Seed
=========================================
Run 1: 41.341108 seconds (Seed: 860318)
Run 2: 29.852151 seconds (Seed: 493771)
Run 3: 22.513404 seconds (Seed: 85266)
Run 4: 0.133869 seconds (Seed: 894376)
Run 5: 7.551539 seconds (Seed: 136066)
Run 6: 18.065597 seconds (Seed: 741706)
Run 7: 10.407405 seconds (Seed: 789688)
Run 8: 6.888940 seconds (Seed: 784271)
Run 9: 35.374272 seconds (Seed: 247846)
Run 10: 95.898086 seconds (Seed: 707880)
Run 11: 23.355800 seconds (Seed: 856880)
Run 12: 5.068135 seconds (Seed: 242018)
Run 13: 4.601918 seconds (Seed: 354047)
Run 14: 31.427303 seconds (Seed: 611175)
Run 15: 13.030845 seconds (Seed: 828887)
Run 16: 22.898568 seconds (Seed: 325522)
Run 17: 48.779180 seconds (Seed: 786909)
Run 18: 5.968025 seconds (Seed: 130276)
Run 19: 5.937587 seconds (Seed: 21391)
Run 20: 19.361941 seconds (Seed: 450025)
Run 21: 6.635685 seconds (Seed: 752670)
Run 22: 59.490684 seconds (Seed: 968837)
Run 23: 129.168276 seconds (Seed: 265693)
Run 24: 10.361020 seconds (Seed: 170746)
Run 25: 7.723188 seconds (Seed: 454047)
Run 26: 2.811942 seconds (Seed: 330183)
Run 27: 16.217216 seconds (Seed: 14854)
Run 28: 3.795000 seconds (Seed: 16379)
Run 29: 12.145840 seconds (Seed: 231993)
Run 30: 51.365044 seconds (Seed: 753626)
Run 31: 49.984293 seconds (Seed: 686327)
Run 32: 11.793969 seconds (Seed: 507599)
Run 33: 10.371848 seconds (Seed: 642544)
Run 34: 26.534153 seconds (Seed: 680546)
Run 35: 1.852998 seconds (Seed: 841740)
Run 36: 11.084857 seconds (Seed: 833173)
Run 37: 14.353548 seconds (Seed: 568159)
Run 38: 6.346218 seconds (Seed: 47198)
Run 39: 6.969309 seconds (Seed: 269326)
Run 40: 20.898016 seconds (Seed: 306683)
Run 41: 5.554317 seconds (Seed: 965377)
Run 42: 21.024545 seconds (Seed: 431257)
Run 43: 11.995867 seconds (Seed: 282227)
Run 44: 37.909730 seconds (Seed: 308260)
Run 45: 30.874341 seconds (Seed: 252029)
Run 46: 98.971929 seconds (Seed: 999574)
Run 47: 32.514075 seconds (Seed: 749735)
Run 48: 18.454429 seconds (Seed: 297965)
Run 49: 2.893842 seconds (Seed: 751801)
Run 50: 1.510398 seconds (Seed: 107711)
Run 51: 26.670405 seconds (Seed: 442688)
Run 52: 20.355467 seconds (Seed: 189318)
Run 53: 1.757685 seconds (Seed: 316150)
Run 54: 8.636114 seconds (Seed: 519132)
Run 55: 2.480636 seconds (Seed: 540664)
Run 56: 3.210619 seconds (Seed: 706906)
Run 57: 0.312676 seconds (Seed: 970735)
Run 58: 70.001246 seconds (Seed: 624122)
Run 59: 23.489125 seconds (Seed: 762986)
Run 60: 43.483481 seconds (Seed: 694352)
Run 61: 17.321272 seconds (Seed: 308473)
Run 62: 18.564077 seconds (Seed: 179597)
Run 63: 102.584406 seconds (Seed: 868942)
Run 64: 25.471832 seconds (Seed: 336970)
Run 65: 7.846267 seconds (Seed: 598809)
Run 66: 25.641320 seconds (Seed: 758030)
Run 67: 94.463673 seconds (Seed: 695957)
Run 68: 7.622830 seconds (Seed: 749314)
Run 69: 23.026752 seconds (Seed: 866037)
Run 70: 19.180726 seconds (Seed: 930052)
Run 71: 67.770180 seconds (Seed: 739014)
Run 72: 131.298534 seconds (Seed: 779640)
Run 73: 7.318539 seconds (Seed: 641840)
Run 74: 3.479738 seconds (Seed: 775544)
Run 75: 20.497286 seconds (Seed: 728988)
Run 76: 15.708509 seconds (Seed: 201855)
Run 77: 1.785226 seconds (Seed: 328920)
Run 78: 10.519277 seconds (Seed: 950669)
Run 79: 59.199839 seconds (Seed: 413376)
Run 80: 59.753691 seconds (Seed: 305875)
Run 81: 18.477432 seconds (Seed: 269700)
Run 82: 46.955744 seconds (Seed: 716536)
Run 83: 39.718929 seconds (Seed: 102435)
Run 84: 6.517733 seconds (Seed: 34812)
Run 85: 11.547401 seconds (Seed: 760469)
Run 86: 7.545785 seconds (Seed: 50378)
Run 87: 16.945488 seconds (Seed: 379071)
Run 88: 75.466139 seconds (Seed: 717756)
Run 89: 83.417663 seconds (Seed: 909863)
Run 90: 4.235833 seconds (Seed: 371135)
Run 91: 82.003367 seconds (Seed: 183256)
Run 92: 8.935772 seconds (Seed: 935314)
Run 93: 58.766378 seconds (Seed: 287308)
Run 94: 61.899096 seconds (Seed: 966306)
Run 95: 44.930062 seconds (Seed: 786211)
Run 96: 8.151649 seconds (Seed: 452903)
Run 97: 15.485491 seconds (Seed: 26264)
Run 98: 15.204316 seconds (Seed: 281722)
Run 99: 35.479605 seconds (Seed: 679285)
Run 100: 26.342815 seconds (Seed: 663553)
