Index	Type Time	Type Staged Time	Difference	Seed
0	35.762063	18.859594	16.902469	65754
1	60.001023	57.633464	2.367559	796583
2	60.008564	54.072069	5.936495	36597
3	21.876255	11.279617	10.596638	168127
4	60.001130	60.001119	0.000011	668277
5	15.495719	8.020521	7.475198	671495
6	1.291509	0.678174	0.613335	547617
7	9.868067	5.249569	4.618498	440075
8	60.001217	33.326407	26.674810	840939
9	37.479255	21.668156	15.811099	234604
10	26.027404	13.876446	12.150958	857826
11	22.126345	13.094581	9.031764	708171
12	47.885557	26.368072	21.517485	670808
13	60.001194	60.001169	0.000025	801755
14	34.291732	18.304177	15.987555	897681
16	60.001211	60.004256	-0.003045	480705
17	60.001251	56.591856	3.409395	389453
18	19.879852	10.389448	9.490404	598836
19	15.817717	7.858736	7.958981	348850
20	35.116396	19.167433	15.948963	941344
21	1.174802	0.612157	0.562645	516925
22	13.344911	7.077155	6.267756	220803
23	56.887987	30.891340	25.996647	652734
24	60.001148	56.248897	3.752251	70283
25	17.795950	9.289091	8.506859	761387
26	60.001242	60.024323	-0.023081	653179
27	43.620023	23.040674	20.579349	413755
28	60.001829	60.001579	0.000250	599246
29	28.474126	14.861441	13.612685	360104
